Case Diameter (mm),Case Thickness (mm),Band Width (mm),Case Material,Strap Material,Movement Type,Water Resistance,Dial Color,Crystal Material,Predicted Price (USD)
,,,Red Gold,,,,Black,,6676.833333333332
,,,Diamond,,,,Diamonds,,6918.833333333332
,,,Rose Gold,,,,Silver,,10108.476190476189
,,,Rose Gold,,,,Silver,,10108.476190476189
,,,Rose Gold,,,,Purple,,9352.833333333332
,,,Stainless Steel,,,,Grey,,5052.071428571428
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Stainless Steel,,,,See-through,,5052.071428571428
,,,Red Gold,,,,Silver,,7868.476190476189
,,,Titanium,,,,Silver,,7315.142857142857
,,,Stainless Steel,,,,Champagne,,5052.071428571428
,,,Stainless Steel,,,,Brown,,5052.071428571428
,,,Stainless Steel,,,,Black,,4848.5
,,,Pink Gold,,,,Blue,,6916.833333333332
,,,White Gold,,,,Red,,6828.833333333332
,,,Yellow Gold,,,,Green,,6918.833333333332
,,,Red Gold,,,,Green,,6918.833333333332
,,,Pink Gold,,,,Pink,,6918.833333333332
,,,Stainless Steel,,,,Blue,,5032.071428571428
,,,Yellow Gold,,,,Champagne,,6918.833333333332
,,,Pink Gold,,,,White,,7661.333333333332
,,,White Gold,,,,Blue,,6826.833333333332
,,,White Gold,,,,Diamonds,,6828.833333333332
,,,Bilgi Yok,,,,Black,,6676.833333333332
,,,Platinum,,,,Black,,6676.833333333332
,,,White Gold,,,,Black,,6676.833333333332
,,,Pink Gold,,,,Black,,6676.833333333332
,,,White Gold,,,,Orange,,6828.833333333332
,,,White Gold,,,,Blue,,6826.833333333332
,,,White Gold,,,,Green,,6828.833333333332
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,Black,,4848.5
,,,Stainless Steel,,,,White,,5480.0
,,,Stainless Steel,,,,White,,5480.0
,,,White Gold,,,,Blue,,6826.833333333332
,,,White Gold,,,,Black,,6676.833333333332
,,,White Gold,,,,Blue,,6826.833333333332
,,,White Gold,,,,Silver,,7778.476190476189
,,,Pink Gold,,,,Blue,,6916.833333333332
,,,Rose Gold,,,,White,,9681.333333333332
,,,White Gold,,,,Blue,,6826.833333333332
,,,Platinum,,,,Silver,,7868.476190476189
,,,Platinum,,,,Salmon,,6918.833333333332
,,,Honey Gold,,,,White,,7661.333333333332
,,,Rose Gold,,,,Silver,,10108.476190476189
,,,White Gold,,,,Pink,,6828.833333333332
,,,Rose Gold,,,,Silver,,10108.476190476189
,,,Yellow Gold,,,,Silver,,7868.476190476189
,,,Honey Gold,,,,Silver,,7868.476190476189
,,,Platinum,,,,Black,,6676.833333333332
,,,Platinum,,,,Silver,,7868.476190476189
,,,Silver,,,,Silver,,7868.476190476189
,,,Yellow Gold,,,,Silver,,7868.476190476189
,,,Platinum,,,,Silver,,7868.476190476189
,,,Platinum,,,,Silver,,7868.476190476189
,,,White Gold,,,,Silver,,7778.476190476189
,,,White Gold,,,,Silver,,7778.476190476189
,,,Rose Gold,,,,Silver,,10108.476190476189
,,,Yellow Gold,,,,Silver,,7868.476190476189
,,,Honey Gold,,,,Grey,,6918.833333333332
,,,Yellow Gold,,,,Silver,,7868.476190476189
,,,Honey Gold,,,,Black,,6676.833333333332
,,,Pink Gold,,,,Silver,,7868.476190476189
,,,Yellow Gold,,,,Silver,,7868.476190476189
,,,Platinum,,,,Silver,,7868.476190476189
,,,Pink Gold,,,,White,,7661.333333333332
,,,Pink Gold,,,,Silver,,7868.476190476189
,,,Honey Gold,,,,Black,,6676.833333333332
,,,Pink Gold,,,,Black,,6676.833333333332
,,,White Gold,,,,Blue,,6826.833333333332
,,,Pink Gold,,,,Blue,,6916.833333333332
,,,Yellow Gold,,,,Silver,,7868.476190476189
,,,Pink Gold,,,,Black,,6676.833333333332
,,,Pink Gold,,,,Silver,,7868.476190476189
,,,Rose Gold,,,,Silver,,10108.476190476189
,,,Platinum,,,,White,,7661.333333333332
,,,Stainless Steel,,,,Black,,4848.5
,,,Pink Gold,,,,Silver,,7868.476190476189
,,,Yellow Gold,,,,Silver,,7868.476190476189
,,,Pink Gold,,,,Black,,6676.833333333332
,,,White Gold,,,,Silver,,7778.476190476189
,,,White Gold,,,,Silver,,7778.476190476189
,,,Pink Gold,,,,Silver,,7868.476190476189
,,,White Gold,,,,Silver,,7778.476190476189
,,,White Gold,,,,Silver,,7778.476190476189
,,,Platinum,,,,Silver,,7868.476190476189
,,,Platinum,,,,Silver,,7868.476190476189
,,,Platinum,,,,Blue,,6916.833333333332
,,,Pink Gold,,,,Silver,,7868.476190476189
,,,Platinum,,,,Silver,,7868.476190476189
,,,White Gold,,,,Black,,6676.833333333332
,,,Pink Gold,,,,Silver,,7868.476190476189
,,,Pink Gold,,,,Black,,6676.833333333332
,,,White Gold,,,,Silver,,7778.476190476189
,,,White Gold,,,,Blue,,6826.833333333332
,,,Pink Gold,,,,Silver,,7868.476190476189
,,,Yellow Gold,,,,Silver,,7868.476190476189
,,,Pink Gold,,,,Silver,,7868.476190476189
,,,White Gold,,,,White,,7571.333333333332
,,,Pink Gold,,,,Black,,6676.833333333332
,,,Platinum,,,,Black,,6676.833333333332
,,,Platinum,,,,Black,,6676.833333333332
,,,White Gold,,,,Blue,,6826.833333333332
,,,Yellow Gold,,,,Champagne,,6918.833333333332
,,,Platinum,,,,Silver,,7868.476190476189
,,,White Gold,,,,Blue,,6826.833333333332
,,,Platinum,,,,Black,,6676.833333333332
,,,Yellow Gold,,,,Champagne,,6918.833333333332
