year,price,transmission,mileage,tax,mpg,engineSize,Make
2016,9299.0,0,59604.0,0,60.1,1.4,1
2017,12399.0,0,9200.0,125,51.4,1.2,6
2018,13450.0,0,32127.0,150,65.7,2.0,6
2016,11490.0,0,61440.0,145,55.4,2.0,6
2019,24995.0,0,1426.0,145,34.0,2.0,4
2020,44000.0,2,1000.0,145,39.8,3.0,5
2019,32182.0,2,8656.0,145,34.9,2.0,5
2012,7990.0,0,88000.0,30,62.8,2.0,5
2017,12298.0,2,38206.0,20,58.9,1.6,1
2018,11110.0,0,18447.0,145,65.7,1.0,3
2017,19998.0,2,20239.0,145,56.5,2.0,5
2013,9991.0,0,62090.0,30,64.2,2.0,5
2017,10489.0,0,21518.0,145,62.8,1.0,3
2016,12790.0,2,42000.0,125,50.4,1.4,1
2017,7700.0,0,7062.0,145,57.7,1.2,3
2016,17350.0,0,7908.0,145,47.1,1.8,5
2019,20495.0,0,2883.0,145,47.1,1.0,6
2019,14249.0,1,18500.0,140,76.3,1.5,2
2016,15998.0,2,46649.0,0,134.5,2.0,0
2016,8498.0,0,47835.0,20,68.9,1.5,3
2019,31980.0,1,7473.0,145,37.2,2.0,1
2016,10990.0,0,40137.0,30,62.8,2.0,6
2016,9500.0,0,34292.0,150,53.3,1.7,4
2018,12691.0,0,21364.0,150,60.1,1.0,3
2016,13990.0,1,18688.0,0,78.5,1.8,2
2014,15295.0,1,28893.0,235,37.7,3.0,0
2020,21450.0,0,6552.0,150,47.9,1.0,5
2016,7700.0,0,24681.0,0,69.0,1.0,2
2014,13990.0,0,32139.0,20,67.3,2.0,1
2019,21898.0,2,14720.0,145,67.3,2.0,0
2017,20981.0,2,12224.0,150,55.4,2.0,0
2017,14995.0,2,15803.0,150,51.4,2.0,6
2017,22450.0,2,29000.0,150,47.9,2.0,3
2019,30990.0,0,10.0,145,37.7,2.0,5
2019,10485.0,0,11166.0,145,46.3,1.2,4
2018,10995.0,0,11840.0,145,58.9,1.0,3
2018,12000.0,0,4200.0,150,65.7,1.0,3
2017,14990.0,2,12215.0,150,51.4,1.2,6
2019,29999.0,1,8914.0,145,65.7,2.0,0
2019,25000.0,1,2300.0,135,61.4,1.8,2
2019,17820.0,2,1179.0,145,36.7,1.5,6
2012,5690.0,0,83000.0,30,64.2,1.6,1
2018,12499.0,1,37127.0,145,54.3,1.0,3
2017,7498.0,0,25186.0,0,68.9,1.0,2
2017,6900.0,0,17186.0,0,68.9,1.0,2
2020,39950.0,2,10.0,145,48.7,2.0,0
2016,8800.0,0,26676.0,20,60.1,1.2,1
2017,10000.0,0,35651.0,150,65.7,1.0,3
2017,8500.0,0,15060.0,125,54.3,1.2,3
2017,9995.0,0,12005.0,145,64.2,1.0,6
2020,34232.0,2,15.0,140,201.8,1.4,6
2019,23995.0,1,1303.0,145,50.4,1.5,6
2018,35866.0,2,5538.0,145,50.4,3.0,5
2019,16495.0,0,13491.0,145,58.9,1.0,3
2017,9498.0,0,25181.0,145,60.1,1.0,1
2017,11498.0,2,15771.0,20,70.6,1.4,6
2017,17495.0,1,23474.0,160,44.8,1.2,2
2018,13450.0,1,12121.0,135,76.3,1.5,2
2019,29975.0,1,123.0,145,48.7,2.0,0
2013,12990.0,0,42300.0,150,54.3,2.0,5
2018,7950.0,0,23636.0,150,64.2,1.0,1
2019,23995.0,2,10.0,145,44.1,1.5,1
2015,11499.0,0,31302.0,30,64.2,2.0,3
2019,15790.0,0,4500.0,145,52.3,1.0,1
2019,36990.0,2,5104.0,145,54.3,2.0,0
2019,18975.0,0,5650.0,145,65.7,2.0,0
2017,16899.0,0,36545.0,145,56.5,2.0,3
2017,12950.0,0,19231.0,30,55.4,1.4,1
2017,12995.0,0,23389.0,150,65.7,2.0,6
2017,10500.0,0,36000.0,145,60.1,1.2,1
2019,24990.0,2,6377.0,150,39.8,3.0,0
2017,20320.0,1,16876.0,125,58.9,2.0,0
2019,45450.0,2,14687.0,145,32.8,3.0,5
2019,30950.0,0,100.0,145,42.8,2.0,5
2016,15495.0,0,48440.0,20,67.3,2.0,1
2019,23775.0,2,4447.0,145,50.4,2.0,0
2018,14560.0,1,29130.0,145,62.8,2.0,6
2019,31495.0,2,1133.0,145,65.7,2.0,0
2012,7490.0,0,87000.0,145,53.3,2.0,1
2019,24500.0,1,12062.0,145,39.8,2.0,5
2017,16250.0,0,10816.0,145,41.5,2.0,3
2015,11498.0,0,46027.0,20,55.4,2.0,1
2016,11495.0,0,35128.0,30,53.3,1.4,1
2017,9960.0,0,18744.0,125,53.3,1.0,3
2018,19995.0,0,10923.0,145,67.3,2.0,3
2019,16498.0,0,18490.0,150,45.6,1.5,1
2016,8640.0,0,88393.0,30,64.2,2.0,3
2019,26850.0,2,4389.0,145,38.7,2.0,5
2019,18995.0,2,8897.0,145,47.1,1.5,1
2017,15800.0,2,26723.0,125,58.9,2.0,3
2019,18750.0,0,6157.0,145,54.3,1.5,3
2017,12789.0,0,21803.0,30,62.8,2.0,6
2018,15190.0,0,20000.0,150,61.7,1.7,4
2019,23995.0,2,1000.0,145,38.7,2.0,5
2019,24600.0,1,8922.0,145,39.8,2.0,5
2017,9120.0,0,31889.0,150,53.3,1.0,3
